127.0.0.1 - - [02/Aug/2019:09:23:10 +0900] "GET / HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:11 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 10252
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:11 +0900] "GET /images/c.jpeg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:11 +0900] "GET /images/java.png HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:11 +0900] "GET /images/oracle.png HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:11 +0900] "GET /images/code6.jpeg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:21 +0900] "GET /member/login.kos?work=member&mem_id=test&mem_pw=123 HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:25 +0900] "GET /onLineTest/testReceipt.jsp HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:25 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:34 +0900] "GET /onLineTest/examReceipt.kos?mem_id=test&work=onLineTest&mem_name=%EC%9D%B4%EC%88%9C%EC%8B%A0&exam_date=2019-08-09&sub_cd=1001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:34 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 10252
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:34 +0900] "GET /images/java.png HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:34 +0900] "GET /images/c.jpeg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:34 +0900] "GET /images/oracle.png HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:34 +0900] "GET /images/code6.jpeg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:37 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 21622
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:37 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:53 +0900] "GET /onLineTest/isOk.kos?work=onLineTest&mem_id=test&exam_no=1907250008 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:53 +0900] "GET /onLineTest/swDesignExam.kos?work=onLineTest&sub_cd=1001 HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:53 +0900] "GET /onLineTest/isOk.kos?work=onLineTest&mem_id=test&exam_no=1907250008 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:23:53 +0900] "GET /onLineTest/swDesignExam.kos?work=onLineTest&sub_cd=1001 HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [02/Aug/2019:09:24:12 +0900] "GET /onLineTest/examPaperAdd.kos?work=onLineTest&exam_no=1907250008&dap1=1&dap2=2&dap3=3&dap4=4 HTTP/1.1" 200 40
