127.0.0.1 - - [12/Jun/2019:11:43:45 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /bootstrap1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /css/bootstrap1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /images/c.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /images/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /images/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /images/oracle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /images/code6.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:47 +0900] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:43:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:55:13 +0900] "GET /css_grid/flex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:55:13 +0900] "GET /images/lion.jpeg HTTP/1.1" 200 6337
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:55:35 +0900] "GET /css_grid/flex2.html HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:56:31 +0900] "GET /css_grid/grid1.html HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:57:47 +0900] "GET /css_margin/margin_1_1.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:58:01 +0900] "GET /css_margin/margin_1.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:58:28 +0900] "GET /css_margin/margin_2.html HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:58:38 +0900] "GET /css_margin/margin_3.html HTTP/1.1" 200 592
